Ciudad,CÃ³digo DANE ciudad,Departamento,Ciudad - Departamento,Repeticiones Ciudad
LA VIRGINIA,66400,RISARALDA,LA VIRGINIA - RISARALDA,0
LABATECA,54377,NORTE DE SANTANDER,LABATECA - NORTE DE SANTANDER,0
LABRANZAGRANDE,15377,BOYACA,LABRANZAGRANDE - BOYACA,0
LANDAZURI,68385,SANTANDER,LANDAZURI - SANTANDER,0
LEBRIJA,68406,SANTANDER,LEBRIJA - SANTANDER,0
LEGUIZAMO,86573,PUTUMAYO,LEGUIZAMO - PUTUMAYO,0
LEIVA,52405,NARIÑO,LEIVA - NARIÑO,0
LEJANIAS,50400,META,LEJANIAS - META,0
LENGUAZAQUE,25407,CUNDINAMARCA,LENGUAZAQUE - CUNDINAMARCA,0
LERIDA,73408,TOLIMA,LERIDA - TOLIMA,0
LETICIA,91001,AMAZONAS,LETICIA - AMAZONAS,0
LIBANO,73411,TOLIMA,LIBANO - TOLIMA,0
LIBORINA,05411,ANTIOQUIA,LIBORINA - ANTIOQUIA,0
LINARES,52411,NARIÑO,LINARES - NARIÑO,0
LLORO,27413,CHOCO,LLORO - CHOCO,0
LOPEZ,19418,CAUCA,LOPEZ - CAUCA,0
LORICA,23417,CORDOBA,LORICA - CORDOBA,0
LOS ANDES,52418,NARIÑO,LOS ANDES - NARIÑO,0
LOS CORDOBAS,23419,CORDOBA,LOS CORDOBAS - CORDOBA,0
LOS PALMITOS,70418,SUCRE,LOS PALMITOS - SUCRE,0
LOS PATIOS,54405,NORTE DE SANTANDER,LOS PATIOS - NORTE DE SANTANDER,0
LOS SANTOS,68418,SANTANDER,LOS SANTOS - SANTANDER,0
LOURDES,54418,NORTE DE SANTANDER,LOURDES - NORTE DE SANTANDER,0
LURUACO,08421,ATLANTICO,LURUACO - ATLANTICO,0
MACANAL,15425,BOYACA,MACANAL - BOYACA,0
MACARAVITA,68425,SANTANDER,MACARAVITA - SANTANDER,0
MACEO,05425,ANTIOQUIA,MACEO - ANTIOQUIA,0
MACHETA,25426,CUNDINAMARCA,MACHETA - CUNDINAMARCA,0
MADRID,25430,CUNDINAMARCA,MADRID - CUNDINAMARCA,0
MAGANGUE,13430,BOLIVAR,MAGANGUE - BOLIVAR,0
MAGÜI,52427,NARIÑO,MAGÜI - NARIÑO,0
MAHATES,13433,BOLIVAR,MAHATES - BOLIVAR,0
MAICAO,44430,LA GUAJIRA,MAICAO - LA GUAJIRA,0
MAJAGUAL,70429,SUCRE,MAJAGUAL - SUCRE,0
MALAGA,68432,SANTANDER,MALAGA - SANTANDER,0
